feature,kind,nunique,pct_null,std,n_normal,n_fault,mean_normal,std_normal,mean_fault,std_fault,auc,auc_dist,d_pooled,quyet_dinh,ly_do
link-s3-srv2.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-h1-s1.traffic.lossPct,numeric,48,2.0,29.377851214585135,59,88,0.0,0.0,58.820761363636365,6.612769870197451,1.0,1.0,11.483429467748996,GIU,có biến thiên và có tách biệt đo được
link-h1-s1.traffic.qdiscDropDelta,numeric,30,2.0,1269.145643579385,59,88,0.0,0.0,2445.181818181818,525.1497552248769,1.0,1.0,6.011078024916336,GIU,có biến thiên và có tách biệt đo được
link-h1-s1.traffic.qdiscSentDelta,numeric,24,2.0,679.0725998329023,59,88,274.50847457627117,2.8549586708520884,1655.1363636363637,4.543991405057585,1.0,1.0,349.00602609986527,GIU,có biến thiên và có tách biệt đo được
link-s1-s2.traffic.qdiscSentDelta,numeric,40,2.0,548.5926202690832,59,88,547.4237288135594,4.430316365408202,1662.1022727272727,24.698661964189814,1.0,1.0,57.64902824401614,GIU,có biến thiên và có tách biệt đo được
link-s2-srv1.traffic.qdiscSentDelta,numeric,51,2.0,548.612446994674,59,88,725.8644067796611,6.884409240472131,1840.5568181818182,24.808627510506664,1.0,1.0,56.572524170010226,GIU,có biến thiên và có tách biệt đo được
host-h1.traffic.rxRate,numeric,66,0.0,2950.7463269392365,60,90,5940.432333333332,782.8393341090889,39.53977777777778,292.83743174952536,0.009259259259259259,0.9814814814814815,10.848347982321624,GIU,có biến thiên và có tách biệt đo được
link-h1-s1.traffic.rxRate,numeric,70,0.0,2950.248243351204,60,90,5939.3925,782.8680420348035,39.56055555555555,293.02891279427655,0.009259259259259259,0.9814814814814815,10.844833514881465,GIU,có biến thiên và có tách biệt đo được
link-s1-s2.traffic.rxRate,numeric,80,0.0,5790.003379509702,60,90,11823.924833333333,1555.9199585666588,504.57455555555555,1641.0038629039027,0.010277777777777778,0.9794444444444445,7.0410384138920845,GIU,có biến thiên và có tách biệt đo được
host-srv1.traffic.txRate,numeric,148,0.0,39028.305359056714,60,90,276971.8003333333,36371.00375596248,264145.4866666667,40082.4184215197,0.016481481481481482,0.967037037037037,0.33189570432748905,GIU,có biến thiên và có tách biệt đo được
link-s2-srv1.traffic.rxRate,numeric,148,0.0,39026.0792218883,60,90,276958.8631666667,36367.910362337774,264141.3872222222,40081.79388424812,0.016481481481481482,0.967037037037037,0.3316803219718584,GIU,có biến thiên và có tách biệt đo được
host-h1.traffic.txRate,numeric,147,0.0,1108884.7567253597,60,90,265298.36883333337,34859.80567991928,2444250.850666667,370551.7741616307,0.9779629629629629,0.9559259259259258,7.560742412817712,GIU,có biến thiên và có tách biệt đo được
host-srv1.traffic.rxRate,numeric,148,0.0,984874.9513786187,60,90,528934.1596666666,69458.34560577918,2443965.284888889,370511.140758113,0.9779629629629629,0.9559259259259258,6.588847789410462,GIU,có biến thiên và có tách biệt đo được
link-h1-s1.traffic.txRate,numeric,148,0.0,1109016.0540512062,60,90,265040.94383333327,34902.624019120616,2444267.699444445,370554.52117220283,0.9779629629629629,0.9559259259259258,7.5615841787635985,GIU,có biến thiên và có tách biệt đo được
link-s1-s2.traffic.txRate,numeric,148,0.0,984935.7002052428,60,90,528848.5895,69518.0809251909,2444003.303888889,370515.67109147715,0.9779629629629629,0.9559259259259258,6.589065211118468,GIU,có biến thiên và có tách biệt đo được
link-s2-srv1.traffic.txRate,numeric,148,0.0,984943.345275846,60,90,528831.0251666667,69597.95391020499,2443997.488777778,370515.18916365947,0.9779629629629629,0.9559259259259258,6.588941270967106,GIU,có biến thiên và có tách biệt đo được
link-h3-s1.traffic.rxRate,numeric,79,0.0,2942.93164368253,60,90,5887.852499999999,775.9466954949781,467.76266666666663,1489.1261000232107,0.024814814814814814,0.9503703703703704,4.32086400690006,GIU,có biến thiên và có tách biệt đo được
host-h3.traffic.rxRate,numeric,78,0.0,2934.7255160063564,60,90,5881.104833333334,774.986303167083,467.7543333333333,1472.1640074279783,0.026851851851851852,0.9462962962962963,4.358356687416155,GIU,có biến thiên và có tách biệt đo được
link-s1-s2.traffic.lossPct,numeric,19,2.0,24.429897558951087,59,88,0.0,0.0,33.53164772727273,23.347256788349767,0.9545454545454546,0.9090909090909092,1.8541437850837743,GIU,có biến thiên và có tách biệt đo được
link-s1-s2.traffic.qdiscDropDelta,numeric,21,2.0,808.5260855949568,59,88,0.0,0.0,1104.1363636363637,775.956379592502,0.9545454545454546,0.9090909090909092,1.8370026377648434,GIU,có biến thiên và có tách biệt đo được
link-s3-srv2.traffic.qdiscSentDelta,numeric,30,2.0,592.3751102723273,59,88,449.9491525423729,3.1863054424962716,1257.9431818181818,569.0623535710552,0.8685477657935285,0.7370955315870571,1.833023919138224,GIU,có biến thiên và có tách biệt đo được
link-s1-s3.traffic.qdiscSentDelta,numeric,25,2.0,679.9754314412489,59,88,272.10169491525426,3.937857439733358,1199.1022727272727,653.4903465991091,0.8531394453004623,0.7062788906009245,1.8313019024882877,GIU,có biến thiên và có tách biệt đo được
link-s3-srv2.traffic.txRate,numeric,148,0.0,973230.1806465293,60,90,529047.4181666666,69500.24093366008,1812215.021111111,957347.0861962195,0.8405555555555555,0.681111111111111,1.7254106638243265,GIU,có biến thiên và có tách biệt đo được
link-h2-s1.traffic.lossPct,numeric,21,2.0,30.943212110497154,59,88,0.0,0.0,42.17960227272727,29.741111540165953,0.8352272727272727,0.6704545454545454,1.8309212253359926,GIU,có biến thiên và có tách biệt đo được
