feature,kind,nunique,pct_null,std,n_normal,n_fault,mean_normal,std_normal,mean_fault,std_fault,auc,auc_dist,d_pooled,quyet_dinh,ly_do
git_hash,meta,3,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
git_dirty,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
source_dirty,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
design_content_sha256,meta,1,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
tick,meta,59,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
t_rel,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-h1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-h1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-h1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-h2.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-h2.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-h2.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-h3.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-h3.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-h3.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-srv1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-srv1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-srv1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-srv2.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
host-srv2.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
host-srv2.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
switch-s1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s1.portStatsRaw.dump,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s2.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
switch-s2.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s2.portStatsRaw.dump,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s3.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
switch-s3.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
switch-s3.portStatsRaw.dump,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-h1-s1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.traffic.qdiscReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h1-s1.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-h2-s1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.traffic.qdiscReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h2-s1.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-h3-s1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.traffic.qdiscReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-h3-s1.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s1-s2.status.state,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s1-s3.status.state,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s2-s3.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.t_source,meta,1062,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s2-srv1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.rateReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.qdiscReason,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
